,sport,school,coach
1,Basketball,Sierra Canyon,Andre Chevalier
2,Basketball,Etiwanda,david kleckner
3,Basketball,"Lincoln (San Francisco, CA)",Carl Jacobs
4,Basketball,"Lincoln (Stockton, CA)",Anthony Matthews
5,Basketball,Crescenta Valley,shawn zargarian
6,Basketball,"Los Altos (Hacienda Heights, CA)",Jeff Lucas
7,Basketball,Sheldon,Joey Rollings
8,Basketball,Centennial,Joshua Giles
9,Basketball,Oakland Tech,Karega Hart
10,Basketball,Gardena,Ernie Carr
11,Basketball,Evergreen Valley,Arjun Ashokkumar
12,Basketball,Gregori,Ryan Green
13,Basketball,Villa Park,Kevin Reynolds
14,Basketball,Arroyo Grande,Ryan Glanville
15,Basketball,Bellarmine College Prep,Patrick Schneider
16,Basketball,Menlo-Atherton,Mike Molieri
17,Basketball,Palo Alto,Jeff LaMere
18,Basketball,Beverly Hills,Jarvis Turner
19,Basketball,Torrey Pines,John Olive
20,Basketball,St. Anthony,Allen Caveness
21,Basketball,Clovis West,Vance Walberg
22,Basketball,Fairfax,Reggie Morris Jr.
23,Basketball,Poway,Scott Fisher
24,Basketball,Cypress,Derek Mitchell
25,Basketball,Valencia,Bill Bedgood
26,Basketball,Poly,Yancy Dodson
27,Basketball,Woodcreek,Drew Hibbs
28,Basketball,Francis Parker,Jim Tomey
29,Basketball,El Camino,ray johnson
30,Basketball,Harvard-Westlake,David Rebibo
31,Basketball,Rocklin,Steve Taylor
32,Basketball,Windward,Colin Pfaff
33,Basketball,Lowell,robert ray
34,Basketball,Granada,Quaran Johnson
35,Basketball,Dublin,Tom Costello
36,Basketball,St. Augustine,Mike Haupt
37,Basketball,San Joaquin Memorial,Brad Roznovsky
38,Basketball,Helix,John Singer
39,Basketball,Bishop O'Dowd,Lou Richie
40,Basketball,Los Altos (CA),Trevor Naas
41,Basketball,Piedmont Hills,Anthony Cuellar
42,Basketball,Dougherty Valley,Mike Hansen
43,Basketball,Folsom,Mike Wall
44,Basketball,Mater Dei Catholic,Jason Bryant
45,Basketball,Mater Dei,Gary McKnight
46,Basketball,St. Joseph,Tom Mott
47,Basketball,Christian,Tim Brown
48,Basketball,De La Salle,Justin Argenal
49,Basketball,Cathedral Catholic,Will Cunningham
50,Basketball,Damien,Michael LeDuc
51,Basketball,Bakersfield,Greg Burt
52,Basketball,King/Drew,Lloyd Webster
