,sport,school,coach
1,football,Beaver,Randy Hunter
2,football,Duchesne,Jerry Cowan
3,football,Enterprise,andy Messersmith
4,football,Kanab,Bucky Orton
5,football,Milford,Thane Marshall
6,football,Monticello,Arthur Adair
7,football,North Sevier,Devin Lindley
8,football,North Summit,Devin Smith
9,football,Parowan,Carter Miller
10,football,American Leadership Academy,Nate Porter
11,football,Delta,Russ Fowles
12,football,Emery,Jon Faimalo
13,football,Grand County,Dennis Wells
14,football,Grantsville,Kody Byrd
15,football,Juab,Mike Bowring
16,football,Juan Diego Catholic,John Colosimo
17,football,Judge Memorial,Chase Jones
18,football,Manti,Cole Meacham
19,football,Morgan,Kovi Christiansen
20,football,North Sanpete,Rhett Bird
21,football,San Juan,Monty Lee
22,football,South Summit,mike Grajek
23,football,Summit Academy,Les Hamilton
24,football,Bear River,Chris Wise
25,football,Canyon View,Chris Sawyers
26,football,Cedar,Coach Josh Bennett
27,football,Desert Hills,Mark Murdoch
28,football,Dixie,Blaine Monkres
29,football,Green Canyon,Craig Anhder
30,football,Hurricane,Skyler Miller
31,football,Mountain Crest,Jason Lee
32,football,Mountain View,Tyler Anderson
33,football,Ogden,Erik Thompson
34,football,Park City,Josh Montzingo
35,football,Pine View,Raymond Hosner
36,football,Snow Canyon,Dustin Gough
37,football,Alta,ALEMA TEO
38,football,Bonneville,Jantz Afuvai
39,football,Box Elder,Robbie Gunter
40,football,Farmington,Daniel Coats
41,football,Highland,Brody Benson
42,football,Lehi,Ed Larson
43,football,Maple Mountain,Brad Burtenshaw
44,football,Murray,todd thompson
45,football,Olympus,Aaron Whitehead
46,football,Payson,Jeb Clark
47,football,Provo,Kevin Norman
48,football,Salem Hills,harry schwenke
49,football,Spanish Fork,Preston Parrish
50,football,Springville,Willy Child
51,football,Timpview,Andy Stokes
52,football,Viewmont,Scott Ditty
53,football,Wasatch,Steve Coburn
54,football,American Fork,Aaron Behm
55,football,Bingham,John lambourne
56,football,Clearfield,Andre Dyson
57,football,Copper Hills,Corey Dodds
58,football,Corner Canyon,Eric Kjar
59,football,Cyprus,Tyler Garcia
60,football,Davis,Mitch Arquette
61,football,East,Brandon Matich
62,football,Fremont,Ross Arnold
63,football,Granger,Alex Gerke
64,football,Herriman,Dustin Pearce
65,football,Hunter,Kyle Reece
66,football,Jordan,Kaleo Teriipaia
67,football,Northridge,Braden Mitchell
68,football,Pleasant Grove,Mark Wootton
69,football,Riverton,Jody Morgan
70,football,Skyridge,Ansen Hatch
71,football,Syracuse,Michael Knight
72,football,Duchesne,Jerry Cowan
73,football,Monticello,Arthur Adair
74,football,North Summit,Devin Smith
75,football,Bellows Free Academy,Geoff Murray
76,football,Burr & Burton,Jason Thomas
77,football,Champlain Valley Union,Mike Williams
78,football,Colchester,THOMAS PERRY
79,football,Mt. Mansfield,Nick Michaud
80,football,Rice Memorial,Neil Brodeur
81,football,Rutland,Mike Norman
82,football,Bellows Falls,bob lockerby
83,football,Brattleboro,Chad Pacheco
84,football,Fair Haven,Jeremy Roberts
85,football,Lyndon Institute,Chad Simpson
86,football,Milton,Chris Hughes
87,football,Mount Anthony,Chad Gordon
88,football,Mt. Abraham,J. Stetson
89,football,North Country Union,Tim Simoneau
90,football,Spaulding,Bob Lamb
91,football,Mill River,Lisa Marchinkoski
92,football,Otter Valley,James Hill
93,football,Poultney,David Capman
94,football,Springfield,Todd Aiken
95,football,Windsor,Brad Epstein
96,football,Bellows Free Academy,Geoff Murray
97,football,Burr & Burton,Jason Thomas
98,football,Champlain Valley Union,Mike Williams
99,football,Colchester,THOMAS PERRY
100,football,Mt. Mansfield,Nick Michaud
101,football,Rice Memorial,Neil Brodeur
102,football,Rutland,Mike Norman
103,football,Bellows Falls,bob lockerby
104,football,Brattleboro,Chad Pacheco
105,football,Fair Haven,Jeremy Roberts
106,football,Lyndon Institute,Chad Simpson
107,football,Milton,Chris Hughes
108,football,Mount Anthony,Chad Gordon
109,football,Mt. Abraham,J. Stetson
110,football,North Country Union,Tim Simoneau
111,football,Spaulding,Bob Lamb
112,football,Mill River,Lisa Marchinkoski
113,football,Otter Valley,James Hill
114,football,Poultney,David Capman
115,football,Springfield,Todd Aiken
116,football,Windsor,Brad Epstein
117,football,Auburn,Camden Akers
118,football,Bath County,Larry Grubbs
119,football,Burton,Jim Adams
120,football,Charles City,Steward Greene
121,football,Chilhowie,jeff robinson
122,football,Chincoteague,Tony Nock
123,football,Colonial Beach,Jeremy Jack
124,football,Covington,Rodney Tenney
125,football,Cumberland,Jamaal Artis
126,football,Eastern Montgomery,Jordan Stewart
127,football,Eastside [Coeburn/St. Paul],Mike Rhodes
128,football,Essex,John Fulks
129,football,Franklin,Darren Parker
130,football,Galax,Mark Dixon
131,football,Holston,Jason Matlock
132,football,Honaker,Doug Hubbard
133,football,Hurley,Greg Tester
134,football,Mathews,Carl Kelly
135,football,McCluer,Mark Wheeler
136,football,Middlesex,William Jarvis
137,football,Narrows,Kelly Lowe
138,football,Northampton,John Edney
139,football,Northumberland,Aaron Lewis
140,football,Patrick Henry,Mark Palmer
141,football,Rappahannock,William West
142,football,Rappahannock County,Fulmer Burks
143,football,Riverheads,Jimmy Brenneman
144,football,Rural Retreat,Casey Stewart
145,football,Rye Cove,Adam Toney
146,football,Surry County,Ervin Jones
147,football,Sussex Central,Curtis Jefferson
148,football,Thomas Walker,Nick Johnson
149,football,Twin Valley,Brian Moore
150,football,Washington & Lee,Malcolm Lewis
151,football,West Point,L.C. Briggs
152,football,Amelia County,Joe Daniel
153,football,Appomattox County,Doug Smith
154,football,Arcadia,Alan Hall
