,sport,school,coach
1,baseball,Bennington,Todd Burrow
2,baseball,Burlingame,Parker Lee
3,baseball,Canton-Galva,Kelly Nelson
4,baseball,Cedar Vale/Dexter,Luke Wachter
5,baseball,Central,Jason Wilson
6,baseball,Chase County,Kraig Schenker
7,baseball,Doniphan West,Jeff Spiker
8,baseball,Elkhart,David Aranda
9,baseball,Ellis,Brent Cain
10,baseball,Ell-Saline,Joe Roche
11,baseball,Flinthills,Erik Sorum
12,baseball,Herington,Jim Blackwell
13,baseball,Heritage Christian Academy,Bart Briley
14,baseball,Hillsboro,Luke Moore
15,baseball,Inman,Matt Mikulecky
16,baseball,Kansas City Christian School,Jared Barker
17,baseball,Little River,Terry Renken
18,baseball,Maranatha Christian Academy,Nick Adams
19,baseball,McLouth,Richard Menninger
20,baseball,Medicine Lodge,Joe Dohrmann
21,baseball,Mission Valley,Justin Duncan
22,baseball,Moscow,Joe Castillo
23,baseball,Moundridge,Jared Kaufman
24,baseball,Northern Heights,Shawn Wilson
25,baseball,Oswego,Jeff Schreppel
26,baseball,Oxford,Kyle Green
27,baseball,Satanta,Tim Dusin
28,baseball,Sedan,Richard Chrisman
29,baseball,Sedgwick,Doug Mabry
30,baseball,Spearville,Steve Strain
31,baseball,St. Mary's-Colgan,Mike Watt
32,baseball,St. Paul,Kenny Crager
33,baseball,Sublette,Lyle Befort
34,baseball,Syracuse,dustin doze
35,baseball,Troy,Roger Purdy
36,baseball,Udall,Barney Rockey
37,baseball,Uniontown,william hathaway
38,baseball,Valley Falls,Braden Werner
39,baseball,West Elk,Dana Taliaferro
40,baseball,Wichita County,Jordan Geyer
41,baseball,Anthony-Harper-Chaparral,Tyler Clubine
42,baseball,Atchison County,Paul Courter
43,baseball,Belle Plaine,Wyatt Moore
44,baseball,Beloit,Brandon Cox
45,baseball,Bluestem,Grant Bachura
46,baseball,Caney Valley,Criss Davis
47,baseball,Central Heights,Jason Brown
48,baseball,Cheney,Mike Quick
49,baseball,Cherryvale,Scott John
50,baseball,Collegiate,Joe Gehrer
51,baseball,Council Grove,Matt Wilkens
52,baseball,Douglass,Brad Reynolds
53,baseball,Erie,Edward Ramsey
54,baseball,Galena,Ken Cook
55,baseball,Halstead,Danny Driskill
56,baseball,Humboldt,Mike Miller
57,baseball,Independent,Jamie Fowler
58,baseball,Jayhawk Linn,Jake Storey
59,baseball,Lakin,Steve Davidson
60,baseball,Lyons/Chase,Adam Niedens
61,baseball,Marion,Roger Schroeder
62,baseball,Marysville,Derek Pretre
63,baseball,Maur Hill Prep-Mount Academy,Phil Baniewicz
64,baseball,Minneapolis,Tyler Konrade
65,baseball,Nemaha Central,Terry Stueve
66,baseball,Northeast,Shane Wade
67,baseball,Osage City,CJ Marple
68,baseball,Oskaloosa,Rod Stottlemire
69,baseball,Perry-Lecompton,Kent Houk
70,baseball,Pleasant Ridge,Justin Sloop
71,baseball,Riley County,Weston Steiner
72,baseball,Riverside [Wathena/Elwood],Bryce Paden
73,baseball,Riverton,Danny Weaver
74,baseball,Rock Creek,Shane Sieben
75,baseball,Rossville,Eammon Bradley
76,baseball,Sabetha,Aaron Frey
77,baseball,Scott,David Dirks
78,baseball,Silver Lake,Alan Cunningham
79,baseball,Southeast,Kaleb Terlip
80,baseball,Southeast of Saline,Mike Garretson
81,baseball,St. Marys,CJ Marple
82,baseball,Thomas More Prep-Marian,Brian Schumacher
83,baseball,Wabaunsee,Jeron Weisshaar
84,baseball,Wellsville,Bryan Kindle
85,baseball,West Franklin,Daniel Waggoner
86,baseball,Abilene/Solomon,Andy Cook
87,baseball,Andale/Garden Plain,Alex Butterfield
88,baseball,Arkansas City,Aaron Bucher
89,baseball,Atchison,Casey Purdy
90,baseball,Augusta,Doug Jefferson
91,baseball,Baldwin,Brian Turk
92,baseball,Bishop Miege,Dan Meara
93,baseball,Bonner Springs,Adam Loecker
94,baseball,Buhler,John Neill
95,baseball,Central,Grant Bacon
96,baseball,Chanute,Zack Murry
97,baseball,Circle,Matt Jordan
98,baseball,Clay Center/Wakefield,Andrew Trent
99,baseball,El Dorado,Adam McCormick
100,baseball,Eudora,Wilson Kilmer
101,baseball,Field Kindley,Edward Raschen
102,baseball,Fort Scott,Josh Regan
103,baseball,Hayden,Bill Arnold
