,sport,school,coach
1,football,Beatty,Leo Verzilli
2,football,Beaver Dam,Rory Hurley
3,football,Coleville,R.C. Remington
4,football,Eureka,Fred Minoletti
5,football,Indian Springs,David Oliver
6,football,Mineral County,Marty waggoner
7,football,Owyhee,Gene Blossom
8,football,Pahranagat Valley,Brett Hansen
9,football,Pyramid Lake,Mitch Jesse
10,football,Round Mountain,Daniel Davis
11,football,Sierra Lutheran,Delbert Bugg
12,football,Smith Valley,todd sceirine
13,football,Spring Mountain,Aaron Masden
14,football,Tonopah,Duffy Otteson
15,football,Virginia City,Ronald Presley
16,football,Wells,Lonnie Abbott
17,football,Calvary Chapel Christian,Brett Russell
18,football,Incline,Brian Martinez
19,football,Lake Mead Academy,Brad Bristol
20,football,Laughlin,Tom Sattler
21,football,Needles,Matt Fromelt
22,football,North Tahoe,Brian Fink
23,football,Pershing County,Mike Brooks
24,football,Silver Stage,Daniel Senger
25,football,West Wendover,Jerome Reamer
26,football,White Pine,Nick Lopez
27,football,Boulder City,Chris Morelli
28,football,Churchill County,Brooke Hill
29,football,Dayton,Terrence Spann
30,football,Eldorado,Evan Nunez
31,football,Elko,Luke Sellers
32,football,Fernley,Chris Ward
33,football,Hug,Mike Gravier
34,football,Lowry,Taua Cabatbat
35,football,Moapa Valley,Brent Lewis
36,football,North Valleys,Anthony Doucette
37,football,Pahrump Valley,Joe Clayton
38,football,Rancho,Leon Evans
39,football,South Tahoe,Louis Franklin
40,football,Sparks,Brad Rose
41,football,Sports Leadership & Management,Mike Cofer
42,football,Spring Creek,Michael Tournahu
43,football,Truckee,Josh Ivens
44,football,Valley,Quincy Burts
45,football,Virgin Valley,Matt Woods
46,football,Western,Coach Dailey
47,football,Basic,Jeffrey Cahill
48,football,Bonanza,keith jones
49,football,Chaparral,Don Willis
50,football,Cheyenne,Carlton Lamb
51,football,Cimarron-Memorial,Shane Kanie
52,football,Clark,Ricky Pickens
53,football,Coronado,Fred Biletnikoff Jr.
54,football,Del Sol,Mike Valenzuela
55,football,Desert Oasis,Mike Ovens
56,football,Durango,toby henry
57,football,Las Vegas,Erick Capetillo
58,football,Mojave,Wes Pacheco
59,football,Shadow Ridge,Travis Foster
60,football,Sierra Vista,Roy Goodell
