,sport,school,coach
153,Basketball,Richwoods,Todd Hursey
154,Basketball,Kenwood,Andre Lewis
155,Basketball,Glenbard South,Morgan Kasperek
156,Basketball,Jersey,Kevin Strebel
157,Basketball,Geneseo,Scott Hardison
158,Basketball,Washington,Kimberly Barth
159,Basketball,Highland,Clint Hamilton
160,Basketball,Mt. Zion,Shane Davis
161,Basketball,Clemente,Mark Crawley
162,Basketball,Providence Catholic,Eileen Copenhaver
163,Basketball,Fenwick,David Power
164,Basketball,Wauconda,Jaime Dennis
165,Basketball,Marian Catholic,Dan Murray
166,Basketball,Sacred Heart-Griffin,Steve Klunick
167,Basketball,Boylan Catholic,Paul Perrone
168,Basketball,Lanphier,Doug Collins
169,Basketball,Westinghouse,Julius Carter III
170,Basketball,Hillcrest,Ed Schodrof
171,Basketball,Comer,Daryl Dildy
172,Basketball,Payton College Prep,Josh Greenberg
173,Basketball,Metamora,Brianna Morrow
174,Basketball,Belvidere North,Aaron Leonard
175,Basketball,Rock Island,Henry Hall
176,Basketball,Resurrection,Jon Palicki
177,Basketball,Perspectives Leadership/Technology,Antonio Reese
178,Basketball,Hyde Park,Corey Morgan
179,Basketball,Woodstock North,Michael Lewis
180,Basketball,Richards,Jeff Kortz
181,Basketball,Springfield,Brad Scheffler
182,Basketball,Centralia,Katie Meador-Steffen
183,Basketball,Vernon Hills,Paul Brettner
184,Basketball,Dunlap,Heather Cassady
185,Basketball,Sandwich,Chris Johnson
186,Basketball,Deerfield,Danielle Ripkey
187,Basketball,Kaneland,Kelsey Flanagan
188,Basketball,Rochester,James Boudouris
189,Basketball,Tinley Park,Ryan Honan
190,Basketball,Back of the Yards College Prep,Alicia Maxwell
191,Basketball,Galesburg,Evan Massey
192,Basketball,Mahomet-Seymour,Nathan Seal
193,Basketball,Oak Forest,Jeffrey Kelly
194,Basketball,Agricultural Science,Shawn Finnin
195,Basketball,Saint Ignatius College Prep,Cara Doyle
196,Basketball,Mt. Vernon,Jeff Lonnon
197,Basketball,Amundsen,Cole Hunton
198,Basketball,Ottawa,Brent Moore
199,Basketball,St. Francis,Sandy De Craene
200,Basketball,LaSalle-Peru,Hollis Vickery
201,Basketball,De La Salle,John Smith
