,sport,school,coach
1,football,Bartlett,John Jessen
2,football,Chugiak,Duncan Shackelford
3,football,Colony,Rhett Magner
4,football,East,Jeff Trotter
5,football,Juneau-Douglas/Thunder Mountain,Randy Quinto
6,football,Service,Kahlil Bolling
7,football,South,Walter Harmon
8,football,Kenai Central,Dustin Akana
9,football,Kodiak,Bill McGuire
10,football,Lathrop,Luke Balash
11,football,Palmer,Joe Dinwiddie
12,football,Soldotna,"Galen Brantley, Jr."
13,football,Barrow,Brian Houston
14,football,Eielson,David DeVaughn
15,football,Homer,Josh Fraley
16,football,Houston,Glenn Nelson
17,football,Ketchikan,Jim Byron II
18,football,Monroe Catholic,Chad Comeau
19,football,Nikiski,Paul Nelson
20,football,Redington,Mathias Weinberger
21,football,Seward,Kelly Cinereski
22,football,Bartlett,John Jessen
23,football,Chugiak,Duncan Shackelford
24,football,Colony,Rhett Magner
25,football,Juneau-Douglas/Thunder Mountain,Randy Quinto
26,football,East,Jeff Trotter
27,football,Service,Kahlil Bolling
28,football,South,Walter Harmon
29,football,Barrow,Brian Houston
30,football,Eielson,David DeVaughn
31,football,Monroe Catholic,Chad Comeau
32,football,Redington,Mathias Weinberger
33,football,Anthem Prep,Nathan Miller
34,football,Cibecue/Dischii Biko,David Jasperson
35,football,Desert Heights Prep,Kendrick Felix
36,football,Duncan,Eldon Merrell
37,football,Fort Thomas,Bracken Walker
38,football,Fredonia,Aaron Derbidge
39,football,Hayden,John Estrada
40,football,Joseph City,Eldon Larsen
41,football,Mayer,Mike Gutierrez
42,football,Mogollon,Ron Tenney
43,football,Mohave Accelerated,Adam Gibson
44,football,Phoenix Day School for the Deaf,Dave Huber
45,football,Ray,Frank Lechuga
46,football,Salome,Bryan McCarty
47,football,San Manuel,Damon Lovato
48,football,San Pasqual Valley,Salvador A pineda
49,football,St. David,Braden Davis
50,football,Superior,Ryan Palmer
51,football,Tempe Prep,Larry Cain
52,football,Valley Union,Ephram Ausseresses
53,football,Alchesay,Brandon Newcomb
54,football,Antelope,Gary Mauldin
55,football,Arete Prep,Cord Smith
56,football,Arizona Lutheran Academy,Dave Peter
57,football,Benson,Chris Determan
58,football,Bisbee,Brian Vertrees
59,football,Camp Verde,Rick Walsworth
60,football,Catalina,Chris Barlow
61,football,Chandler Prep,Chris Goodman
62,football,Greyhills Academy,Vaughn Salabye
63,football,Heritage Academy,Tony Stillings
64,football,Hopi,Raleigh Namoki
65,football,Kingman Academy,John Morgando
66,football,Many Farms,Gary Begay
67,football,Morenci,Macedonio Garcia
68,football,NFL Yet Academy,Armando Ruiz Jr.
69,football,North Pointe Prep,Jason Shaw
70,football,Parker,Jeston Lotts
71,football,Pima,John Bryant
72,football,Pinon,Brad Burghart
73,football,Red Mesa,Pita Olomua
74,football,Red Rock,Tom Miller
75,football,San Tan Charter,Derek Freeman
76,football,Santa Cruz Valley,Rishard Davis
77,football,Santa Rita,Richard Sanchez
78,football,Scottsdale Preparatory Academy,David Primavera
79,football,St. John Paul II Catholic,John Padilla
80,football,St. Johns,Tony Neubauer
81,football,Tanque Verde,Jay Dobyns
82,football,Tonopah Valley,Dustin Johnson
83,football,Trivium Prep,Michael Spencer
84,football,Valley,patrick boone
85,football,Veritas Prep,Jason Black
86,football,American Leadership Academy - Gilbert North,Randy Ricedorff
87,football,Arizona College Prep,Myron Blueford
88,football,Blue Ridge,Bob London
89,football,Bourgade Catholic,Marcel Lopez
90,football,Chinle,Alan Barwick
91,football,Chino Valley,Michael Gilpin
92,football,Coronado,Jerry Black
93,football,Cortez,Anthony Groth
94,football,Dysart,John Ganados
95,football,Florence,Scott Howard
96,football,Fountain Hills,Jason Henslin
97,football,Gilbert Christian,Danny Norris
98,football,Kingman,Cam Wierson
99,football,Monument Valley,Bryan Begay
100,football,Odyssey Institute,Jon Castellanos
101,football,Paradise Honors,Josh Goodloe
102,football,Phoenix Christian,brian cole
103,football,Pusch Ridge Christian Academy,Jerry Harris
104,football,River Valley,Jonathan Clark
105,football,Round Valley,Marc Bell
106,football,Sabino,Ryan McBrayer
107,football,Safford,eric hjalmarson
108,football,Sahuarita,Don Watt
109,football,San Tan Foothills,Jeremy Beamon
110,football,Show Low,Monte Maxwell
111,football,Snowflake,Kay Solomon
112,football,Thatcher,Daniel Jones
113,football,Wickenburg,Mike Mitchell
