,sport,school,coach
162,football,Pelion,Dann Holland
163,football,Philip Simmons,Eric Bendig
164,football,Saluda,Stewart Young
165,football,Silver Bluff,Al Lown
166,football,St. Joseph's Catholic,Jon Wheeler
167,football,Wade Hampton,Christina Rutledge
168,football,Academic Magnet,Steve Kamp
169,football,Aynor,Jason Allen
170,football,Battery Creek,Walt Wilson
171,football,Berea,Julius Prince
172,football,Bishop England,John Cantey
173,football,Blue Ridge,James Thurn
174,football,Brookland-Cayce,Rusty Charpia
175,football,Broome,Blake Burress
176,football,Camden,BRIAN RIMPF
177,football,Carolina Academy,Will Owens
178,football,Chapman,Mark Hodge
179,football,Chester,Victor Floyd
180,football,Clinton,Corey Fountain
181,football,Daniel,Jeff Fruster
182,football,Dillon,Jackie Hayes
183,football,Fairfield Central,Demetrius Davis
184,football,Fox Creek,LaFayette Stewart
185,football,Gilbert,Chad Leaphart
186,football,Hanahan,David Morbitzer
187,football,Keenan,Sean E. Gilley
188,football,Lake City,Ronnie Baker
189,football,Lakewood,Larry Cornelius
190,football,Lower Richland,Matthew Nesbit
191,football,Manning,Dwayne Stukes
192,football,Marlboro County,BOBBY COLLINS
193,football,North Charleston,Devon Smalls. SR.
194,football,Oceanside Collegiate Academy,Chad Grier
195,football,Palmetto,Doug Shaw
196,football,Pendleton,Yon Radford
197,football,Southside,Jeremy West
198,football,Strom Thurmond,Antwaun Hillary
199,football,Waccamaw,Shane Fidler
200,football,West-Oak,Josh Pierce
201,football,Woodruff,Bradley Adams
202,football,Beaufort,Mark Clifford
203,football,Bluffton,John Houpt
204,football,Colleton County,Coby Peeler
205,football,Darlington,B Sandifer
206,football,Dreher,Treigh Sullivan
207,football,Easley,Matthew Cronin
208,football,Flora,Collin Drafts
209,football,Greenville,lonnie longino
210,football,Greenwood,Dan Pippin
211,football,Greer,Coach Young
212,football,Hartsville,Hal Oliver
213,football,Hilton Head,BJ Payne
214,football,Indian Land,Horatio Blades
215,football,Irmo,Reggie Kennedy
216,football,James Island,Jamar McKoy
217,football,Lancaster,Bobby Collins
218,football,Laurens,Chris Liner
219,football,Lugoff-Elgin,Matthew Campbell
220,football,May River,Rodney Summers
221,football,Midland Valley,Kenneth Freeman
222,football,Myrtle Beach,Mickey Wilson
223,football,North Augusta,Brian Thomas
224,football,Pickens,Chad Smith
225,football,Richland Northeast,Bennett Weigle
226,football,South Aiken,Chris Hamilton
227,football,South Florence,Drew Marlowe
228,football,Travelers Rest,Ray Gould
229,football,Walhalla,Bob Thomas
230,football,West Florence,Jody Jenerette
231,football,Wilson,Derek Howard
232,football,Ashley Ridge,Kenny Walker
233,football,Berkeley,Randy Robinson
234,football,Blythewood,Jason Seidel
235,football,Boiling Springs,Rick Tate
236,football,Cane Bay,Russell Zehr
237,football,Chapin,Justin Gentry
238,football,Conway,Carlton Terry
239,football,Dorman,David Gutshall
240,football,Dutch Fork,Tom Knotts
241,football,Fort Dorchester,Steve Laprad
242,football,Fort Mill,Rob Mcneely
243,football,Goose Creek,Jason Winstead
244,football,Mann,Kevin Burnette
245,football,Mauldin,Harris Cabaniss
246,football,Nation Ford,Michael Allen
247,football,Ridge View,Perry Parks
248,football,Riverside,Steve Eoute
249,football,Rock Hill,David Pittman
250,football,Spartanburg,Mark Hodge
251,football,Spring Valley,Robin Bacon
252,football,St. James,Thomas Norwood
253,football,Stall,Joe Bessinger
254,football,Stratford,Dennie McDaniel
255,football,Wade Hampton,Marc Klatt
